2021-12-15 18:12:242 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 18:12:76 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (f640a1da6ae869a350e341b0a1cc8416)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-15 18:12:109 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (f640a1da6ae869a350e341b0a1cc8416)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-15 18:12:166 INFO  ComputerPage :32 - Verify Computer Page : Computers
2021-12-15 18:12:941 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 18:12:246 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (0da96feb4307272a5836eadaf3335aed)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-15 18:12:404 INFO  ComputerPage :37 - Click On Desktop : Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']'
2021-12-15 18:12:466 INFO  DesktopsPage :35 - Verify Desktop Page : [[ChromeDriver: chrome on WINDOWS (0da96feb4307272a5836eadaf3335aed)] -> xpath: //h1[normalize-space()='Desktops']]
2021-12-15 18:12:237 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 18:12:996 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (a7eec9833749909dfc772affa45574c4)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-15 18:12:575 INFO  ComputerPage :37 - Click On Desktop : Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']'
2021-12-15 18:12:765 INFO  DesktopsPage :40 - Click on Build your own Computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2021-12-15 18:12:04 INFO  BuildYourOwnComputerPage :53 - Select Processor : 2.2 GHz Intel Pentium Dual-Core E2200
2021-12-15 18:12:253 INFO  BuildYourOwnComputerPage :59 - Select RAM : 2 GB
2021-12-15 18:12:335 INFO  BuildYourOwnComputerPage :69 - Select HDD : 320 GB
2021-12-15 18:12:419 INFO  BuildYourOwnComputerPage :79 - Select OS : Vista Home [+$50.00]
2021-12-15 18:12:501 INFO  BuildYourOwnComputerPage :91 - Select Software : Microsoft Office [+$50.00]
2021-12-15 18:12:594 INFO  BuildYourOwnComputerPage :98 - Click On add to cart : [[ChromeDriver: chrome on WINDOWS (a7eec9833749909dfc772affa45574c4)] -> xpath: //button[normalize-space()='Add to cart']]
2021-12-15 18:12:888 INFO  BuildYourOwnComputerPage :103 - Verify product added to cart : The product has been added to your shopping cart
2021-12-15 18:12:605 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-15 18:12:16 INFO  HomePage :53 - Click on computer link : [[ChromeDriver: chrome on WINDOWS (7f7e90486b066b372f33b0058651426e)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2021-12-15 18:12:273 INFO  ComputerPage :37 - Click On Desktop : Proxy element for: DefaultElementLocator 'By.xpath: //a[@title='Show products in category Desktops'][normalize-space()='Desktops']'
2021-12-15 18:12:993 INFO  DesktopsPage :40 - Click on Build your own Computer : Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']'
2021-12-15 18:12:204 INFO  BuildYourOwnComputerPage :53 - Select Processor : 2.5 GHz Intel Pentium Dual-Core E2200 [+$15.00]
2021-12-15 18:12:445 INFO  BuildYourOwnComputerPage :59 - Select RAM : 4GB [+$20.00]
2021-12-15 18:12:543 INFO  BuildYourOwnComputerPage :69 - Select HDD : 400 GB [+$100.00]
2021-12-15 18:12:623 INFO  BuildYourOwnComputerPage :79 - Select OS : Vista Premium [+$60.00]
2021-12-15 18:12:702 INFO  BuildYourOwnComputerPage :91 - Select Software : Acrobat Reader [+$10.00]
2021-12-15 18:12:793 INFO  BuildYourOwnComputerPage :98 - Click On add to cart : [[ChromeDriver: chrome on WINDOWS (7f7e90486b066b372f33b0058651426e)] -> xpath: //button[normalize-space()='Add to cart']]
2021-12-15 18:12:518 INFO  BuildYourOwnComputerPage :103 - Verify product added to cart : The product has been added to your shopping cart
2021-12-15 18:12:259 INFO  ManageDriver :30 - Launching Chrome Browser
